Type,Domain,Problem,Compiler,SAT Clauses,SAT Vars,SAT Encoding Time,Compiled Size,Compiled #Sol,Compile Time
fluent,mystery,prob25.pddl,mc2d-dt4,309,43,0.0528059005737,5669,24195098368,0.120000001043
fluent,mystery,prob25.pddl,bddminisat,309,43,0.0528059005737,4001035,24195098368,3.69000000134
fluent,mystery,prob25.pddl,mc2d-dt0,309,43,0.0528059005737,25962,24195098368,0.539999999106
fluent,mystery,prob25.pddl,dsharp,309,43,0.0528059005737,11055,24195100000,0.160000000149
fluent,mystery,prob26.pddl,sharpSAT,3073,175,0.277057170868,memout,memout,305.759999998
fluent,mystery,prob26.pddl,c2d-dt0,3073,175,0.277057170868,timeout,timeout,1805.41
fluent,mystery,prob26.pddl,cnf2bdd,3073,175,0.277057170868,timeout,timeout,1803.8
fluent,mystery,prob26.pddl,c2d-dt4,3073,175,0.277057170868,timeout,timeout,1804.4
fluent,mystery,prob26.pddl,mc2d-dt4,3073,175,0.277057170868,segfault,segfault,185.879999999
fluent,mystery,prob26.pddl,bddminisat,3073,175,0.277057170868,memout,memout,10.2400000021
fluent,mystery,prob26.pddl,mc2d-dt0,3073,175,0.277057170868,segfault,segfault,530.93
fluent,mystery,prob26.pddl,dsharp,3073,175,0.277057170868,memout,memout,53.4299999997
fluent,mystery,prob27.pddl,sharpSAT,2323,152,0.217537879944,memout,memout,274.739999998
fluent,mystery,prob27.pddl,c2d-dt0,2323,152,0.217537879944,timeout,timeout,1805.14
fluent,mystery,prob27.pddl,cnf2bdd,2323,152,0.217537879944,timeout,timeout,1808.29
fluent,mystery,prob27.pddl,c2d-dt4,2323,152,0.217537879944,timeout,timeout,1811.2
fluent,mystery,prob27.pddl,mc2d-dt4,2323,152,0.217537879944,segfault,segfault,356.57
fluent,mystery,prob27.pddl,bddminisat,2323,152,0.217537879944,memout,memout,16.9000000022
fluent,mystery,prob27.pddl,mc2d-dt0,2323,152,0.217537879944,timeout,timeout,1812.73
fluent,mystery,prob27.pddl,dsharp,2323,152,0.217537879944,memout,memout,84.6799999997
fluent,mystery,prob28.pddl,sharpSAT,389,78,0.0602900981903,-,7929429745831736331648,0.0399999991059
fluent,mystery,prob28.pddl,c2d-dt0,389,78,0.0602900981903,1733,7929429745831736331648,0.650000002235
fluent,mystery,prob28.pddl,cnf2bdd,389,78,0.0602900981903,5834,-,0.54999999702
fluent,mystery,prob28.pddl,c2d-dt4,389,78,0.0602900981903,1565,7929429745831736331648,0.0600000023842
fluent,mystery,prob28.pddl,mc2d-dt4,389,78,0.0602900981903,2429,7929429745831736331648,0.0799999982119
fluent,mystery,prob28.pddl,bddminisat,389,78,0.0602900981903,202611,7929429745831736331648,0.370000001043
fluent,mystery,prob28.pddl,mc2d-dt0,389,78,0.0602900981903,3470,7929429745831736331648,0.669999998063
fluent,mystery,prob28.pddl,dsharp,389,78,0.0602900981903,1363,7929430000000000065536,0.0400000028312
fluent,mystery,prob29.pddl,sharpSAT,2449,177,0.22763299942,-,2827396398234322819787739480425270710593754787584,42.9100000001
fluent,mystery,prob29.pddl,c2d-dt0,2449,177,0.22763299942,2529515,2827396398234322819787739480425270710593754787584,224.23
fluent,mystery,prob29.pddl,cnf2bdd,2449,177,0.22763299942,timeout,timeout,1814.5
fluent,mystery,prob29.pddl,c2d-dt4,2449,177,0.22763299942,815778,2827396398234322819787739480425270710593754787584,68.0700000003
fluent,mystery,prob29.pddl,mc2d-dt4,2449,177,0.22763299942,2494199,2827396398234322819787739480425270710593754787584,58.3900000006
fluent,mystery,prob29.pddl,bddminisat,2449,177,0.22763299942,memout,memout,9.44999999925
fluent,mystery,prob29.pddl,mc2d-dt0,2449,177,0.22763299942,segfault,segfault,130.170000002
fluent,mystery,prob29.pddl,dsharp,2449,177,0.22763299942,memout,memout,67.0299999975
fluent,mystery,prob30.pddl,sharpSAT,8171,319,0.673113822937,memout,memout,320.539999999
fluent,mystery,prob30.pddl,c2d-dt0,8171,319,0.673113822937,timeout,timeout,1818.22
fluent,mystery,prob30.pddl,cnf2bdd,8171,319,0.673113822937,timeout,timeout,1818.17
fluent,mystery,prob30.pddl,c2d-dt4,8171,319,0.673113822937,timeout,timeout,1818.66
fluent,mystery,prob30.pddl,mc2d-dt4,8171,319,0.673113822937,segfault,segfault,410.609999999
fluent,mystery,prob30.pddl,bddminisat,8171,319,0.673113822937,memout,memout,14.1999999993
fluent,mystery,prob30.pddl,mc2d-dt0,8171,319,0.673113822937,segfault,segfault,163.300000001
fluent,mystery,prob30.pddl,dsharp,8171,319,0.673113822937,memout,memout,86.1099999994
fluent,trucks,p01.pddl,sharpSAT,505,90,0.157483100891,-,2954281422818733863606272,0.0600000023842
fluent,trucks,p01.pddl,c2d-dt0,505,90,0.157483100891,1875,2954281422818733863606272,0.599999997765
fluent,trucks,p01.pddl,cnf2bdd,505,90,0.157483100891,9870,-,0.5
fluent,trucks,p01.pddl,c2d-dt4,505,90,0.157483100891,2377,2954281422818733863606272,0.0600000023842
fluent,trucks,p01.pddl,mc2d-dt4,505,90,0.157483100891,3840,2954281422818733863606272,0.089999999851
fluent,trucks,p01.pddl,bddminisat,505,90,0.157483100891,604647,2954281422818733863606272,1.3900000006
fluent,trucks,p01.pddl,mc2d-dt0,505,90,0.157483100891,3886,2954281422818733863606272,0.689999997616
fluent,trucks,p01.pddl,dsharp,505,90,0.157483100891,7758,2954280000000000140509184,0.170000001788
fluent,trucks,p02.pddl,sharpSAT,649,116,0.198045969009,-,172866911502431708674424171937792,0.089999999851
fluent,trucks,p02.pddl,c2d-dt0,649,116,0.198045969009,2538,172866911502431708674424171937792,0.839999999851
fluent,trucks,p02.pddl,cnf2bdd,649,116,0.198045969009,5903,-,1.19000000134
fluent,trucks,p02.pddl,c2d-dt4,649,116,0.198045969009,2914,172866911502431708674424171937792,0.0799999982119
fluent,trucks,p02.pddl,mc2d-dt4,649,116,0.198045969009,4828,172866911502431708674424171937792,0.089999999851
fluent,trucks,p02.pddl,bddminisat,649,116,0.198045969009,memout,memout,9.99000000209
fluent,trucks,p02.pddl,mc2d-dt0,649,116,0.198045969009,5775,172866911502431708674424171937792,0.79999999702
fluent,trucks,p02.pddl,dsharp,649,116,0.198045969009,27983,172866999999999985882645569470464,0.410000000149
fluent,trucks,p03.pddl,sharpSAT,1549,190,0.451919078827,-,398281097108610248387228257091789910634973999879487488,2.29000000283
fluent,trucks,p03.pddl,c2d-dt0,1549,190,0.451919078827,449539,398281097108610248387228257091789910634973999879487488,136.239999998
fluent,trucks,p03.pddl,cnf2bdd,1549,190,0.451919078827,53112,-,11.9100000001
fluent,trucks,p03.pddl,c2d-dt4,1549,190,0.451919078827,6597,398281097108610248387228257091789910634973999879487488,0.449999999255
fluent,trucks,p03.pddl,mc2d-dt4,1549,190,0.451919078827,10266,398281097108610248387228257091789910634973999879487488,0.379999998957
fluent,trucks,p03.pddl,bddminisat,1549,190,0.451919078827,memout,memout,12.2300000004
fluent,trucks,p03.pddl,mc2d-dt0,1549,190,0.451919078827,8434015,398281097108610248387228257091789910634973999879487488,49.0300000012
fluent,trucks,p03.pddl,dsharp,1549,190,0.451919078827,813794,398281000000000007689278674028326014709301683117096960,22.5500000007
fluent,trucks,p04.pddl,sharpSAT,1837,225,0.556082010269,-,13345616035235630748263908198899248279052714663925389122301853696,14.1999999993
